rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),menu_item
4.2/5,253,Basavanagudi,Quick Bites,"Khali Dosa, Kali Dosa, Upma, Filter Coffee, Kesari Bath, Set Dosa, Masala Dosa",South Indian,250,[]
3.7/5,61,Basavanagudi,Casual Dining,"Mutton Biryani, Crispy Fried Chicken","Biryani, South Indian, North Indian, Chinese, Andhra",600,[]
3.8/5,155,Mysore Road,Casual Dining,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath","South Indian, Fast Food, Street Food",400,"['South Indian Thali Meals', 'Veg Fried Rice', '2 Chapathi Kurma', '2 Paratha Korma', 'Variety Rice', 'Sambar Rice', 'Curd Rice', 'Mini Meals', 'Veg Biryani', 'South Indian Thali Meals', 'A2B North Indian Thali', 'Special South Indian Thali Meals', 'Veg Clear Soup', 'Cream of Tomato Soup', 'Sweet Corn Mushroom Soup', 'Spinach Soup', 'Veg Sweet Corn Soup', 'Veg Hot and Sour Veg Soup', 'Veg Manchow Soup', 'Veg Noodle Soup', 'Cream of Mushroom Soup', 'A2B Special Soup', 'Tandoori Gobi', 'Mushroom Tikka', 'Paneer Tikka', 'Finger Chips', 'Gobi Pepper Fry Dry', 'Gobi 65 Dry', 'Honey Chilly Potato Dry', 'Paneer Pepper Fry Dry', 'Golden Fried Baby Corn Dry', 'Baby Corn Pepper Fry Dry', 'Mushroom Pepper Fry Dry', 'Paneer 65 Dry', 'Mushroom 65 Dry', 'Baby Corn 65 Dry', 'Dal Fry', 'Dal Tadka', 'Green Peas Masala', 'Dal Palak', 'Veg Mix Masala Curry', 'Aloo Matar', 'Veg Hyderabadi Curry', 'Malai Kofta Curry', 'Palak Paneer', 'Paneer Butter Masala', 'Kadhai Paneer', 'Kaju Matar', 'Kaju Masala', 'Mushroom Masala', 'Paneer Tikka Masala', 'Tandoori Roti', 'Butter Roti', 'Pudina Roti', 'Methi Roti', 'Tandoori Naan', 'Plain Kulcha', 'Methi Kulcha', 'Butter Naan', 'Butter Kulcha', 'Masala Kulcha', 'Garlic Naan', 'Stuffed Kulcha', 'A2B Special Bread Basket', 'Veg Pulao', 'Peas Pulao', 'Jeera Rice', 'Ghee Rice', 'Navarathana Pulao', 'Mughlai Biryani', 'Veg Hyderbadi Biryani', 'Gobi Manchurian', 'Veg Ball Manchurian', 'Mushroom Manchurian', 'Mushroom Chilli', 'Gobi Chilli', 'Paneer Chilli', 'Baby Corn Manchurian Gravy', 'Baby Corn Chilli', 'Veg Fried Rice', 'Veg Noodles', 'Schezwan Noodles', 'Singapore Noodles', 'Shangai Fried Rice', 'Schezwan Fried Rice', 'Singapore Fried Rice', 'Paneer Fried Rice', 'Mushroom Fried Rice', 'A2B Special Fried Rice', 'Puli Kachal Thokku [400 grams]', 'Onion Thokku [400 grams]', 'Lemon Pickle [400 grams]', 'Ginger Thokku [400 grams]', 'Tomoto Thokku [400 grams]', 'Gongura Thokku [400 grams]', 'Karuvipplai Thokku [400 grams]', 'Amla Pickle [400 grams]', 'Rajapalayam Kara Kulambu [400 grams]', 'Raja Palayam Kadamba Kullambu [400 grams]', 'Madurai Kothamalli Thokku [400 grams]', 'Vatakozhambu Thokku [400 grams]', 'Garlic Pickle [400 grams]', 'Madras Rasam Paste [400 grams]', 'Brinjal Thokku [400 grams]', 'Citron Pickle [400 grams]', 'Bitter Ghourd Thokku [400 grams]', 'Mango Ginger Thokku [400 grams]', 'Pepper Kulambhu Paste [400 grams]', 'Lemon Rice Mix [400 grams]', 'Pudhina Thokku [400 grams]', 'Mor Kulambhu Paste [400 grams]', 'Veg Pizza', 'Tomato Pizza', 'Onion Capsicum Pizza', 'Cheese Pizza', 'Mushroom Pizza', 'Capsicum Pizza', 'Baby Corn Pizza', 'Paneer Pizza', 'Ellu Muruku', 'AAB Special Mixture', 'Moto Mixture', 'Dal Mixture', 'Ompodi', 'Kara Sev', 'Kara Boondi', 'Mota Sev', 'Ribbon Pakoda', 'Andhara Muruku', 'Corn Flakes Mixture', 'Potato Masala Chips', 'Masala Cashewnut Pakoda', 'Butter Muruku', 'Banana Chips', 'Mini Thattai', 'Mini Pepper Thattai', 'Rajapalayam Pakoda', 'Rajapalayam Kara Sev', 'Ghee Dal [100 grams]', 'Moong Dal [100gms]', 'Masala Groundnut [100 grams]', 'Potato Chips Salt [100 grams]', 'Potato Chips Chilly [100 grams]', 'Fried Cashewnut Salt [250 grams]', 'Fried Cashewnut Pepper [250 grams]', 'Fried Cashewnut Salt [100 grams]', 'Fried Cashewnut Pepper [100 grams]', 'Special Masala Cashewnut [100 grams]', 'Special Masala Cashewnut [250 grams]', 'Hand Muruku', 'Thattai [250 grams]', 'Mini Thenkuzhal [250 grams]', 'Seedai [250 grams]', 'Mullu Murukku [250 grams]', 'Adai Dosa Mix', 'Badam Milk Mix', 'Jamoon Mix', 'Ragi Dosa Mix', 'Rava Dosa Mix', 'Upma Mix', 'Sambar Podi', 'Idly Podi', 'Coffee Powder', 'Veg Pizza', 'Tomato Pizza', 'Onion Capsicum Pizza', 'Cheese Pizza', 'Mushroom Pizza', 'Capsicum Pizza', 'Baby Corn Pizza', 'Paneer Pizza', 'Veg Sandwich', 'Tomato Cheese Sandwich', 'Cheese Sandwich', 'Paneer Grilled Sandwich', 'Mixed Grilled Sandwich', 'Veg Club Sandwich', 'Pani Puri [6 Pieces]', 'Chana Masala', 'Aloo Puri', 'Dahi Samosa', 'Dahi Kachori', 'Aloo Chat', 'Dahi Bhalla', 'Dahi Gujia', 'Dahi Papdi Chat', 'Bhel Puri', 'Sev Puri', 'Jain Bhel Puri', 'Jain Pani Puri', 'Masala Puri', 'Chola Samosa', 'Dahi Puri', 'Dahi Vada', 'Jalmodi', 'Chola Cutlet', 'Chola Kachori', 'Raj Kachori', 'Tokari Chat', 'Samosa', 'Kachori', 'Pav Bhaji', 'Masala Pav Bhaji', 'Cheese Pav Bhaji', 'Dry Fruit Assorted Sweets', 'Aadithya Dry Fruit Sweets', 'Anjeer Kaju Roll', 'Kaju Kashmir', 'Anjal King', 'Diamond Cake', 'Badam Cake', 'Dry Fruit Honey Dew', 'Kaju Choco Bar', 'Kaju Pista Cassata', 'Kaju Katli', 'Kaju Pista Roll', 'Assorted Sweets', 'Assorted Bengali Sweets', 'Mini Jangiri', 'Tota Burfi', 'Special Laddu', 'Mini Badusha', 'Kala Kand Burfi', 'Kaju Mysore Pak', 'Chocolate Burfi', 'Coconut Burfi', 'Kala Kand', 'Malai Peda', 'Kesar Peda', 'Mango Burfi', 'Kesar Kalakand Burfi', 'Gulkand Burfi', 'Milk Halwa', 'Baby Milk Cake', 'Laddu', 'White Soan Papdi', 'Banaras Soan Papdi', 'Jangiri', 'Special Mysore Pak', 'Malt Mysore Pak', 'Badusha', 'Chandra Kala', 'Surya Kala', 'Rava Laddu', 'Ma Laddu', 'Athirasam', 'Cashewnut Halwa', 'Fruit Halwa', 'Carrot Halwa', 'Bombay Halwa', 'Dry Fruit Halwa', 'Angoor Jamoon', 'Paneer Jamoon', 'Champakali', 'Dry Jamoon', 'Kala Jamoon', 'Malai Sandwich', 'Malai Cham Cham', 'Strawberry', 'Sangam Burffi', 'Kesar Kaju Katli', 'Kesar Kasthuri Peda', 'Malai Chandragulla', 'Pakeeja', 'Malai Chops', 'Apple Rasagulla', 'Jamoon [1 Piece]', 'Rasagulla [1 Piece]', 'Badam Milk', 'Ajmeer Cake', 'Mothi Laddu', 'AAB Jamoon', 'AAB Rasagulla', 'Kadalai Burfi [250 grams]', 'Ellu Burfi [250 grams]', 'Roasted Papad [2 Pieces]', 'Masala Papad [1 Piece]', 'Cucumber Salad', 'Onion Salad', 'Green Salad', 'Dal Poli Holige [1 Piece]', 'Coconut Poli [1 Piece]', 'Hot Gulab Jamoon [1 Piece]', 'Rasagulla [1 Piece]', 'Rasmalai [1 Piece]', 'Fresh Lime Juice', 'Water Melon Juice', 'Pine Apple Juice', 'Sathu Kodi Juice', 'Orange Juice', 'Mango Juice', 'Pomegranate Juice', 'Apple Juice', 'Mix Fruit Juice', 'Vanilla Milkshake', 'Mango Milkshake', 'Pine Apple Milkshake', 'Butterscotch Milkshake', 'Strawberry Milkshake', 'Apple Milkshake', 'Black Current Milkshake', 'Pista Milkshake', 'Pomegranate Milkshake', 'Water Melon Juice', 'Sathu Kodi Juice', 'Orange Juice', 'Pineapple Juice', 'Grape Juice', 'Mango Juice', 'Pomegrananate Juice', 'Apple Juice', 'Sweet Lassi', 'Salt Lassi', 'Cold Badam Milk']"
3.9/5,233,Jayanagar,Casual Dining,"Corn Augratin, Lasagne, Fries, Garlic Bread, Pili Pili Pizza, Mexican Rice, Ravioli","Italian, Pizza, North Indian, Salad",800,"['Cheese Garlic Bread [4 Pieces]', 'Supreme Garlic Bread [4 Pieces]', 'Margherita Pizza', 'Four Season Pizza', 'Pilli Pilli Pizza', 'Chef Choice Soup', 'Tossed Salad', 'Coleslaw Salad', 'Pasta Salad', 'Paradizo Salad', 'Greek Salad', 'Caesar Salad', 'Plain Garlic Bread [4 Pieces]', 'Cheese Garlic Bread [4 Pieces]', 'Supreme Garlic Bread [4 Pieces]', 'Foccaccia', 'Calzone in Veggies', 'French Fries', 'Corn and Mutter Cutlet', 'Grilled Vegetables', 'Dal Makhani', 'Palak Paneer', 'Paneer Butter Masala', 'Kum Kajana Masala', 'Mix Veg Curry', 'Chole Masala', 'Green Peas Masala', 'Ghee Rice', 'Jeera Rice', 'Broccoli Rice', 'Cottage Cheese Rice', 'Risi Bisi', 'Mushroom Magic', 'Pomodoro Rice', 'Spinach Spice Rice', 'Saffron Spice Rice', 'Mexican Rice', 'Pilaf Rice', 'Margherita Pizza', 'Mushroom Delight Pizza', 'Pizza Piccante', 'Pizza Marinara', 'Four Season Pizza', 'Parmentier Pizza', 'Pilli Pilli Pizza', 'Garlic Mushroom Pizza', 'Indian Passion Pizza', 'Grilled Pizza', 'Hawaiian Pizza', 'Ragoos Special Pizza', 'Lasagne', 'Spinach and Corn Au Gratin Pasta', 'Veg Augratin Pasta', 'Macaroni and Cheese Pasta', 'Ravioli with Cream Pasta', 'Fursilli Broccoli Pasta', 'Penne with Cream Mushroom', 'Can Can Pasta', 'Penne with Vegetables', 'Mushroom Chilli Carbonara Pasta', 'Fusilli Arrabitta Pasta', 'Penne Pomodoro', 'Penne Puttanesca', 'Spaghetti All Norma', 'Fettucine Catania Pasta', 'Spaghetti Olio Aglio Dry Pasta', 'Chilli Broccoli Dry Pasta', 'Tagliatelle with Pesto Green Sauce Pasta', 'Masala Papad [1 Piece]', 'Caramel Custard', 'Chocolate Mousse', 'Pepsi [750 ml]', '7up [750 Ml]', 'Mountain Dew [750 ml]', 'Mirinda [750 ml]', 'Mineral Water [1 litre]']"
3.7/5,264,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750,"['Paneer Butter Masala', 'Chicken Kadai', 'Chicken Hyderabadi', 'Chicken Mughalai', 'Butter Chicken', 'Boneless Butter Chicken', 'Chicken Kabab', 'Chilli Kabab', 'Grilled Chicken', 'Chilly Chicken', 'Chicken Chilly Manchurian', 'Chicken 65', 'Imperial Special Paratha', 'Ghee Rice', 'Veg Biryani', 'Biryani Rice', 'Special Dum Chicken Biryani', 'Malabar Chicken Biryani', 'Special Dum Mutton Biryani', 'Egg Fried Rice', 'Sweet Corn Veg Soup', 'Veg Hot and Sour Soup', 'Manchow Veg Soup', 'Veg Clear Soup', 'Cream of Mushroom Soup', 'Tomato Soup', 'Paya Soup', 'Sweet Corn Chicken Soup', 'Hot and Sour Chicken Soup', 'Manchow Chicken Soup', 'Chicken Clear Soup', 'Tom Yam Chicken Soup', 'Mutton Mushroom Soup', 'Imperial Special Mutton Shorba', 'Mutton Yaghini Shorba', 'Mutton Drum Stick Soup', 'Bangalorian Fruit Mix Salad', 'Gobi Dry Fry', 'Mushroom Pep Salt', 'Satai Chicken', 'Shaded Chicken Pepper Fry', 'Dragon Chicken', 'Crispy Honey Chicken', 'Omelette', 'Tomato Omelette', 'Egg Bhurji', 'Half Fried Egg', 'Boiled Egg', 'Chicken Pepper Dry', 'Chilly Chicken Dry', 'Chicken Manchurian Dry', 'Chicken Pepper Onion Dry', 'Chicken Kabab', 'Chilli Kabab', 'Chicken Wings Kabab', 'Colourless Kabab', 'Grilled Chicken', 'Mutton Pepper Dry', 'Gobi Manchurian', 'Gobi Chilli', 'Baby Corn Chilli', 'Baby Corn Manchurian', 'Paneer Chilli', 'Paneer Manchurian', 'Paneer Schezwan', 'Mushroom Chilli', 'Mushroom Manchurian', 'Mushroom Schezwan', 'Chilly Chicken', 'Chicken Chilly Manchurian', 'Ginger Chicken', 'Garlic Chicken', 'Chicken Schezwan', 'Lemon Chicken', 'Hong Kong Chicken', 'Chicken 65', 'Dal Fry', 'Dal Tadka', 'Dal Makhani', 'Mixed Vegetable', 'Veg Kolhapuri', 'Mutter Paneer', 'Aloo Mutter', 'Aloo Gobi', 'Aloo Jeera', 'Paneer Butter Masala', 'Palak Paneer', 'Kadai Paneer', 'Kadai Veg', 'Aloo Palak', 'Bindi Do Pyaza', 'Adraki Aloo Gobi', 'Malai Kofta', 'Tomato Omelette Masala', 'Egg Masala', 'Chicken Masala', 'Chicken Kadai', 'Chicken Kolapuri', 'Chicken Hyderabadi', 'Chicken Mughalai', 'Chicken Do Pyaza', 'Chicken Chattinad', 'Chicken Chatpata', 'Chicken Tikka Masala', 'Chilly Chicken Masala', 'Chicken Boona', 'Chicken Tandoori Masala', 'Chicken Shahi Kurma', 'Butter Chicken', 'Chicken Pepper Masala', 'Chicken Manchurian Masala', 'Boneless Butter Chicken', 'Mutton Pepper Masala', 'Mutton Kadai', 'Mutton Lahori', 'Mutton Boona', 'Mutton Pepper Dry', 'Mutton Palak', 'Mutton Lagan Gosh', 'Mutton Rogan Gosh', 'Mutton Kolapuri', 'Mutton Mughalai', 'Mutton Dum Palak', 'Dabba Gosh', 'Mutton Chilly Dry', 'Imperial Special Paratha', 'Imperial Special Coin Paratha', 'Wheat Paratha', 'Ghee Paratha', 'Egg Paratha', 'Imperial Mix Egg Paratha', 'Imperial Mix Chicken Paratha', 'Imperial Mix Ceylon Paratha', 'Ghee Rice', 'Jeera Rice', 'Veg Biryani', 'Biryani Rice', 'Veg Pulao', 'Mushroom Pulao', 'Paneer Pulao', 'Curd Rice', 'Egg Birayni', 'Special Dum Chicken Biryani', 'Malabar Chicken Biryani', 'Special Dum Mutton Biryani', 'Veg Fried Rice', 'Mushroom Fried Rice', 'Veg Noodle', 'Triple Schezwan Rice', 'Triple Malaysian Fried Rice', 'Egg Fried Rice', 'Egg Noodle', 'Chicken Fried Rice', 'Chicken Noodle', 'Mutton Fried Rice', 'Mutton Noodle', 'Prawns Fried Rice', 'Mix Fried Rice', 'Prawns Noodle', 'Mix Noodle', 'Sea Food Rice', 'Green Salad', 'Cucumber Salad', 'Onion Salad', 'Mix Raita', 'Pineapple Raita', 'Cucumber Raita', 'Curd', 'Caramel Custard', 'Imperial Special Falooda', 'Pink Queens', 'Vanilla Ice Cream', 'Strawberry Ice Cream', 'Pista Ice Cream', 'Butterscotch Ice Cream', 'Chocolate Ice Cream', 'Orange Juice', 'Pineapple Juice', 'Apple Juice', 'Watermelon Juice', 'Sweet Melon Juice', 'Lemon Juice', 'Lemon Mint Juice', 'Musambi Juice', 'Papaya Juice', 'Arabian Grapes Juice', 'Cocktail Juice', 'Pineapple Juice', 'Musambi Juice', 'Orange Juice', 'Apple Juice', 'Sweet Lassi', 'Salt Lassi', 'Guava Lassi', 'Nannari Lassi', 'Lime Soda', 'Mint Soda', 'Nannari Soda', 'Masala Soda', 'Hafeethi Juice', 'Royal Juice', 'Emarathi Juice', 'Passion Beverage', 'Strawberry Mujeeto', 'White Mist', 'Apple Milkshake', 'Anaar Milkshake', 'Anjeer Milkshake', 'Strawberry Milkshake', 'Banana Milkshake']"
4.1/5,238,Basavanagudi,Quick Bites,"Masala Dosa, Vada, Obbattu, Badam Milk, Khara Bhath, Coffee, Puri Saagu",South Indian,600,[]
4.1/5,176,Basavanagudi,Casual Dining,"Brownie, Mojito, Prawn Ghee Roast, Corn Tikki, Mushroom Ghee Roast, Pinacolada, Biryani","Andhra, North Indian, Chinese",800,"['Mushroom Biryani', 'Dal Ki Khichdi', 'Palak Khichdi', 'Murgh Biryani', 'Carrier full meals', 'Bhune Bhutte Ka Shorba', 'Spicy Mushroom and Bamboo Shoot', 'Palak Shorba', 'French Onion Soup', 'Tomato Dhaniya Shorba', 'Tomato Soup', 'Sweet Corn Veg', 'Veg Manchow', 'Hot N Sour Veg', 'Murgh Ka Shorba', 'Chicken and Corn Soup', 'Chicken Spinach Soup', 'Sweet Corn Chicken', 'Chicken Manchow Soup', 'Hot N Sour Chicken', 'Tom Yum Chicken Soup', 'Gosht Ka Shorba', 'Meat Ball Soup', 'Basil and Crab Meat Soup', 'Seafood Soup', 'Prawns Soup', 'Fish Manchow Soup', 'Paneer Butteer Masala', 'Paneer Tikka Masala', 'Palak Paneer', 'Kadai Paneer', 'Paneer Hyderabadi', 'Malai Kofta', 'Mushroom Kadai', 'Mushroom Handi', 'Methi Malai Mutter', 'Makai Palak', 'Deewani Handi', 'Subzi Kadai', 'Subzi Jalfreize', 'Subzi Hara Masala', 'Tawa Subzi', 'Veg Kolhapuri', 'Veg Do Pyaza', 'Aloo Palak', 'Aloo Gobi', 'Sarson Ka Saag', 'Dum Aloo Kashmiri', 'Dal Makhani', 'Dal Palak', 'Dal Tadka', 'Dal Fry', 'Dal Kolhapuri', 'Nilgiri Murgh', 'Murgh Lahori', 'Murgh Rahra', 'Lassooni Methi Murgh', 'Murgh Makhani', 'Murgh Tikka Masala', 'Murgh Do Pyaza', 'Murgh Pudina Masala', 'Handi Murgh', 'Kadai Murgh', 'Murgh Hyderabadi', 'Murgh Kolhapuri', 'Murgh Kalimirch', 'Mutton Roganjosh', 'Bhuna Goshth', 'Mutton Handi', 'Mutton Kadai', 'Mutton Pahadi Masala', 'Mutton Sagwala', 'Keema Matar', 'Koli Gassi', 'Koli Rotti', 'Koli Sukka', 'Koli Pulimunchi', 'Chicken Curry', 'Chicken Malabar Curry', 'Mutton Malabar Curry', 'Mutton Curry', 'Mutton Sukka', 'Mutton Gassi', 'Paneer Chilli', 'Paneer Manchurian', 'Paneer Schezwan', 'Babycorn Schezwan', 'Babycorn Chilly', 'Babycorn Manchurian', 'Mushroom Manchurian', 'Mushroom Chilli', 'Mushroom Schezwan', 'Chicken Chilli', 'Chicken Manchurian', 'Garlic Chicken', 'Lemon Chicken', 'Mushroom Biryani', 'Tarkari Pulao', 'Dal Ki Khichdi', 'Palak Khichdi', 'Masala Khichdi', 'Jeera Rice', 'Steamed Rice', 'Curd Rice', 'Paneer Biryani', 'Egg Biryani', 'Chicken Khichdi', 'Murgh Biryani', 'Murgh Handi Biryani', 'Murgh Tikka Biryani', 'Lucknovi Mutton Biryani', 'Basa Fish Biryani', 'Seafood Khichdi', 'Prawns Biryani', 'Lucknovi Subz Biryani', 'Veg Fried Rice', 'Veg Pineapple Fried Rice', 'Veg Combination Fried Rice', 'Veg Malaysian Fried Rice', 'Veg Schezwan Fried Rice', 'Veg Shanghai Fried Rice', 'Veg Malaysian Noodles', 'Veg Hakka Noodles', 'Veg Schezwan Noodle', 'Veg Shanghai Noodles', 'Veg Chowmein', 'Veg Chinese Chopsuey', 'Veg American Chopsuey', 'Chicken Fried Rice', 'Chicken Pineapple Fried Rice', 'Chicken Malaysian Fried Rice', 'Chicken Combination Fried Rice', 'Chicken Schezwan Fried Rice', 'Chicken Shanghai Fried Rice', 'Chicken Malaysian Noodles', 'Chicken Hakka Noodles', 'Chicken Schezwan Noodle', 'Chicken Schezwan Noodle', 'Chicken Chowmein', 'Chicken Chinese Chopsuey', 'Chicken American Chopsuey', 'Seafood Fried Rice', 'Seafood Pineapple Fried Rice', 'Seafood Malaysian Fried Rice', 'Seafood Combination Fried Rice', 'Seafood Schezwan Fried Rice', 'Seafood Shanghai Fried Rice', 'Seafood Malaysian Noodles', 'Seafood Hakka Noodles', 'Seafood Schezwan Noodle', 'Seafood Shanghai Noodles', 'Seafood Chowmein', 'Seafood Chinese Chopsuey', 'Seafood American Chopsuey', 'Roti', 'Butter Roti', 'Naan', 'Butter Naan', 'Garlic Naan', 'Kulcha', 'Butter Kulcha', 'Onion Kulcha', 'Paratha', 'Butter Paratha', 'Lachha Paratha', 'Stuffed Paratha', 'Aloo Paratha', 'Makai Ki Roti', 'Bread Basket', 'Neer Dose [4 Pieces]', 'Mangalorian Roti', 'Keema Naan', 'Carrier full meals']"
3.7/5,93,Basavanagudi,Quick Bites,"Masala Vada Pav, Cheese Vada Pav, Fries",Street Food,200,"['Classic Vada Pav', 'Masala Vada Pav', 'Maharaja Vada Pav', 'Schezwan Vada Pav', 'Makai Palak Vada Pav', 'Cheese Fingers [5 Pieces]', 'Classic Vada Pav', 'Masala Vada Pav', 'Aloo Tikki Vada Pav', 'Mixed Veg Vada Pav', 'Maharaja Vada Pav', 'Crispy Vada Pav', 'Paneer Vada Pav', 'Schezwan Vada Pav', 'Makai Palak Vada Pav', 'Cheese Vada Pav', 'Sabudana Vada [2 Pieces]', 'Cheese Fingers [5 Pieces]', 'French Fries', 'Masala Fries']"
3.8/5,124,Basavanagudi,Quick Bites,"Masala Poori, Rumali Roti, Sandwiches, Chaat, Burgers","South Indian, Fast Food, North Indian, Desserts",300,[]
4.3/5,275,Basavanagudi,Quick Bites,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",South Indian,100,[]
4.2/5,254,Basavanagudi,Quick Bites,"Masala Dosa, Vada, Set Dosa, Filter Coffee, Raita, Idli Sambar, Crispy Dosa",South Indian,150,[]
4.1/5,177,Basavanagudi,Quick Bites,"Filter Coffee, Rava Idli, Kali Dosa, Carrot Halwa, Idli Vada, Vada Sambar, Bonda",South Indian,100,[]
4.0/5,132,Basavanagudi,Quick Bites,"Sandwiches, Veg Burger, Pizza Sandwich, Burgers, French Fries, Wedges, Club Sandwich",Fast Food,200,[]
3.8/5,74,Basavanagudi,Quick Bites,"Coffee, Masala Dosa, Vegetable Biryani","South Indian, North Indian, Chinese",300,"['Tandoori Roti', 'Butter Kulcha', 'Channa Bhatura', 'Samosa Masala', 'Special Bhel Puri', 'Tomato Soup', 'Sweet Corn Plain Soup', 'Sweet Corn Veg Soup', 'Mushroom Soup', 'Cream of Veg Soup', 'Hot and Sour Soup', 'Manchow Soup', 'Veg Clear Soup', 'French Onion Soup', 'Veg Noodle Soup', 'Tandoori Roti', 'Methi Roti', 'Butter Roti', 'Kulcha', 'Butter Kulcha', 'Masala Kulcha', 'Stuff Kulcha', 'Naan', 'Butter Naan', 'Garlic Naan', 'Cheese Naan', 'Kashmiri Naan', 'Paratha', 'Plain Bhatura', 'Channa Bhatura', 'Pani Puri', 'Masala Puri', 'Bhel Puri', 'Sev Puri', 'Dahi Puri', 'Dahi Potato Puri', 'Dahi Sev Potato Puri', 'Papdi Chaat', 'Pakoda Bhel', 'Samosa Masala', 'Special Bhel Puri', 'Plain Samosa']"
3.6/5,172,Uttarahalli,Casual Dining,Biryani,"North Indian, Chinese",700,[]
3.9/5,543,Basavanagudi,Quick Bites,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani","South Indian, Fast Food",300,[]
4.0/5,52,Basavanagudi,Quick Bites,"Coffee, Idli, Masala Dosa, Sagu Dosa, Kesari Bath, Kharabath, Plain Dosa",South Indian,300,[]
3.7/5,217,Basavanagudi,Casual Dining,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda","North Indian, Chinese, South Indian, Fast Food, Juices",450,[]
3.9/5,111,Basavanagudi,Casual Dining,"Murgh Ghee Roast, Malai Kofta, Butter Chicken, Donne Biryani, Cocktails, Palak Rice, Masala Peanuts","North Indian, Chinese, Mughlai",700,[]
3.8/5,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200,"['Vada Pav', 'Misal Pav', 'Cheese Misal Pav', 'Dahi Samosa Chaat', 'Dahi Kachori Chaat', 'Dahi Aloo Chaat', 'Papdi Chaat', 'Palak Chaat', 'Tokri Chaat', 'Dahi Puri', 'Pav Bhaji', 'Cheese Pav Bhaji', 'Jain Dahi Puri', 'Mango Lassi', 'Kids Cheese Dabeli', 'Kids Cheese Pav Bhaji', 'Kids Bhel Puri', 'Kids Dahi Puri', 'Jain Bhel Puri', 'Jain Dahi Puri', 'Jain Dahi Kachori Chaat', 'Samosa [2 Pieces]', 'Kachori', 'Special Kachori', 'Poha', 'Poha Combo', 'Dabeli', 'Cheese Dabeli', 'Vada Pav', 'Cheese Vada Pav', 'Misal Pav', 'Cheese Misal Pav', 'Dahi Samosa Chaat', 'Dahi Kachori Chaat', 'Dahi Aloo Chaat', 'Papdi Chaat', 'Palak Chaat', 'Tokri Chaat', 'Basket Chaat', 'Masala Puri', 'Bhel Puri', 'Samosa Masala', 'Kachori Masala', 'Sukha Bhel', 'Dahi Puri', 'Paani Puri', 'Girmit', 'Pav Bhaji', 'Cheese Pav Bhaji', 'Lassi', 'Mango Lassi', 'Mint Lemon']"
3.8/5,39,Jayanagar,Quick Bites,"Masala Dosa, Idli, Vada Sambar","South Indian, North Indian",250,[]
4.0/5,64,Basavanagudi,Quick Bites,"Buttermilk, Jolada Rotti",South Indian,200,[]
3.8/5,148,Basavanagudi,Quick Bites,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich","Fast Food, Street Food",150,[]
3.8/5,55,South Bangalore,Food Truck,"Biryani, Momos, Rolls","Chinese, Rolls, Biryani, Momos",300,[]
3.8/5,977,Banashankari,Lounge,"Beer, Chicken Wings, Chilli Chicken, Onion Rings, Fries",Finger Food,"1,300",[]
4.1/5,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200",[]
3.3/5,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,[]
3.0/5,98,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,[]
2.7/5,377,Basavanagudi,Pub,"Thai Chicken, Chicken Lollipop, Cocktails, Jeera Rice, Rolls, Draught Beer, French Fries","North Indian, Chinese, Thai","1,100",[]
4.4/5,2487,Bannerghatta Road,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",900,[]
